model,word_rep_mode,feature,metric_family,metric,class,mean_score,n_tokens,n_types,family_label,metric_label,model_label,row_label
bert-base-uncased,first,pos,linear_id,lpca99,CCONJ,489.480758373554,6627,21,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,DET,522.1692287738507,16123,36,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,NOUN,679.5346257136418,33607,6903,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,NUM,512.7884709284856,3675,728,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,PRON,513.6577016390287,18255,138,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,PROPN,658.2730712890625,11203,3808,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,PUNCT,481.4422985957219,22123,94,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,SCONJ,468.2115322993352,3815,62,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,pos,linear_id,lpca99,VERB,656.9923095703125,22095,3538,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,arity,linear_id,pca99,0,684.5507624699519,129064,7581,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,arity,linear_id,pca99,1,698.6061589167668,20239,6441,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,arity,linear_id,pca99,2,697.2046133188101,18037,5846,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,arity,linear_id,pca99,3,691.433847280649,13546,4621,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,arity,linear_id,pca99,4,689.240004319411,14030,4534,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,ADJ,520.2307692307693,12648,2156,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,ADP,442.2307692307692,17557,116,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,ADV,459.46153846153845,9913,716,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,AUX,403.7692307692308,11526,90,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,CCONJ,385.2307692307692,6627,21,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,DET,416.46153846153845,16123,36,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,NOUN,558.4615384615385,33607,6903,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,NUM,409.3076923076923,3675,728,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,PRON,400.1538461538461,18255,138,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,PROPN,524.3076923076923,11203,3808,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,PUNCT,345.38461538461536,22123,94,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,SCONJ,374.7692307692308,3815,62,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,pos,linear_id,pca99,VERB,521.9230769230769,22095,3538,LID,LID (PCA99),BERT,BERT LID (PCA99)
bert-base-uncased,first,arity,nonlinear_id,gride,0,14.489163802220272,129064,7581,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,arity,nonlinear_id,gride,1,20.601501905001125,20239,6441,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,arity,nonlinear_id,gride,2,21.42255739065317,18037,5846,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,arity,nonlinear_id,gride,3,20.304914694566,13546,4621,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,arity,nonlinear_id,gride,4,19.523098578819862,14030,4534,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,-1,13.015917961414043,13038,2647,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
