subset,model,feature,class,metric,layer,mean,ci_low,ci_high,metric_table_n_tokens,word_rep_mode,source_csv,source_path,source_path_relative,metric_family,n_tokens,n_types,model_label,metric_label,row_label
raw,bert-base-uncased,arity,2,gride,5,19.92999649047852,19.11873435974121,21.61868667602539,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,6,20.384145736694336,19.55842399597168,21.75715065002441,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,7,21.33639907836914,20.46902275085449,22.40725517272949,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,8,22.02527618408203,21.20510673522949,22.852066040039062,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,9,24.164844512939453,23.24337577819824,24.91294288635254,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,10,24.117868423461918,23.38025665283203,24.910818099975582,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,11,25.894847869873047,25.17205238342285,26.686532974243164,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,2,gride,12,28.740886688232425,28.175434112548828,29.27538299560547,18037,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,18037,5846,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,3,gride,0,13.101963996887209,10.660412788391112,14.927846908569336,13546,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,13546,4621,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,3,gride,1,13.755437850952148,11.907060623168944,15.371933937072754,13546,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,13546,4621,BERT,NLID (GRIDE),BERT NLID (GRIDE)
