model,feature,feature_label,metric_label,metric_source,class,early_layer,late_layer,layer0_mean,layer12_mean,delta_layer12_minus_layer0,abs_delta,pct_change_from_layer0,layer0_ci_low,layer0_ci_high,layer12_ci_low,layer12_ci_high,n_tokens,source_csv
GPT,head_dist,Head distance,LID,pca99,3,0,12,522.1199951171875,198.8800048828125,-323.239990234375,323.239990234375,-61.909138369969,518.0,526.0,193.2250061035156,204.7749938964844,12161,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,4,0,12,454.6199951171875,165.1999969482422,-289.4199981689453,289.4199981689453,-63.66195971964266,445.0,463.0,153.4499969482422,175.0,5719,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,5,0,12,368.6799926757813,142.10000610351562,-226.57998657226568,226.57998657226568,-61.457087738287186,357.0,380.3250122070313,125.125,155.0,2883,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,LID,pca99,6,0,12,558.9400024414062,119.68000030517578,-439.26000213623047,439.26000213623047,-78.58804168919332,554.2249755859375,562.7750244140625,112.0,129.5500030517578,5107,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,-6,0,12,0.7956462502479553,7.471240043640137,6.675593793392181,6.675593793392181,839.0153025055794,0.6035440564155579,1.0209437608718872,7.350174903869629,7.5868821144104,19585,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,-5,0,12,10.143047332763672,8.126812934875488,-2.0162343978881836,2.0162343978881836,-19.87799456851022,5.201171398162842,12.143126487731934,7.944160461425781,8.37896728515625,4545,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,-4,0,12,12.530352592468262,8.70834732055664,-3.822005271911621,3.822005271911621,-30.50197704898544,11.064486503601074,14.483369827270508,8.515290260314941,8.88737964630127,6684,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,-3,0,12,13.67258644104004,9.035741806030272,-4.636844635009769,4.636844635009769,-33.91344172520043,12.008956909179688,15.95816421508789,8.911847114562988,9.16817855834961,10487,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,-2,0,12,18.712383270263672,9.164647102355955,-9.547736167907717,9.547736167907717,-51.02362446305955,16.438270568847656,20.745723724365234,8.973573684692383,9.373088836669922,15690,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,-1,0,12,3.2361793518066406,7.521896362304687,4.285717010498046,4.285717010498046,132.43138110084928,3.1143107414245605,3.3330323696136475,7.384600162506103,7.635350227355957,13038,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,1,0,12,3.519795179367065,8.801522254943848,5.281727075576782,5.281727075576782,150.0577961620639,3.308559894561768,3.7687525749206543,8.686274528503418,8.91153335571289,53836,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,2,0,12,2.604555606842041,8.095785140991211,5.49122953414917,5.49122953414917,210.83172575482655,2.4935805797576904,2.696277141571045,7.99323844909668,8.19990062713623,26199,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,3,0,12,2.437178373336792,7.680712699890137,5.243534326553345,5.243534326553345,215.14774560281,2.338663339614868,2.572440385818481,7.563506603240967,7.803800106048584,12161,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,4,0,12,2.6437344551086426,7.350656986236572,4.70692253112793,4.70692253112793,178.04066978181066,2.5416059494018555,2.8222968578338623,7.220273971557617,7.51005744934082,5719,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,5,0,12,3.3383326530456543,6.504012107849121,3.165679454803467,3.165679454803467,94.82816075609867,3.114961862564087,3.617364406585693,6.344173431396484,6.650516986846924,2883,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,head_dist,Head distance,NLID,gride,6,0,12,4.513687133789063,7.515393733978271,3.001706600189207,3.001706600189207,66.5023186414206,2.811849355697632,4.984072685241699,7.369228839874268,7.669981956481934,5107,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_gride_gpt2.csv
GPT,index,Index,IsoScore,iso,1,0,12,0.0024216058664023,0.0014028240693733,-0.001018781797029,0.001018781797029,-42.07050417096034,0.0023819357156753,0.0024788356386125,0.0013980688527226,0.0014080017572268,10067,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
