model,comparison,canonical,metric,metric_label,n_layers,median_rel_diff_pct,mean_rel_diff_pct,max_rel_diff_pct,median_abs_diff,mean_abs_diff,spearman_r,pearson_r,layer12_mean_value,layer12_first_value,layer12_rel_diff_pct,source_csv,layer12_last_value
gpt2,mean vs last,True,pca99,PCA99,13,4.761904761904762,9.19358589958105,33.33333333333333,2.0,1.7692307692307692,0.9999999999999999,0.9982468395128429,40.0,,4.761904761904762,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pca99.csv,42.0
bert-base-uncased,mean vs first,True,pfI,PFl,13,0.9059842691552515,1.0413913748468375,2.628779492338316,0.0034846067428588867,0.004050816480930031,0.989010989010989,0.998895505811982,0.4776543080806732,0.4794706106185913,0.378814154130277,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pfI.csv,
bert-base-uncased,mean vs last,False,pfI,PFl,13,0.423645500452825,0.6547104420753335,2.4029966962977958,0.0017172694206237793,0.002339468552516074,0.9945054945054945,0.9997143181492412,0.4776543080806732,,0.423645500452825,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pfI.csv,0.475639283657074
gpt2,mean vs first,False,pfI,PFl,4,15.760606127473814,23.57255933855059,62.11837565972104,0.0,0.00037826157130653226,1.0,0.9999995733387655,1.536970203885879e-11,1.8917296548681684e-11,18.753179137904457,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pfI.csv,
gpt2,mean vs last,True,pfI,PFl,4,0.6290563107719245,1.0773253462871335,2.9803861290680094,0.0,3.9999041932286264e-05,1.0,0.9999999970640872,1.536970203885879e-11,,0.9251169745003809,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pfI.csv,1.5513217446749827e-11
bert-base-uncased,mean vs first,True,pr,PR,13,1.2512093619183797,1.616091656483206,3.36143324104923,0.8027191162109375,0.9176133962777945,0.9945054945054945,0.9996122799384011,39.70860290527344,41.08980941772461,3.36143324104923,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pr.csv,
bert-base-uncased,mean vs last,False,pr,PR,13,1.1391326166484257,1.3377255223159084,3.46963667989333,0.6676254272460938,0.7229044987605169,0.9945054945054945,0.9997138137338683,39.70860290527344,,3.46963667989333,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pr.csv,41.135868072509766
gpt2,mean vs first,False,pr,PR,13,1.403521900903521,5.098808405421672,36.397245847496066,0.014755964279174805,0.30947785194103533,1.0,0.9945026077525955,1.740420937538147,1.7019922733306885,2.2578636113462545,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pr.csv,
gpt2,mean vs last,True,pr,PR,13,0.9125558277464039,3.2867325418195943,17.817335833342884,0.009818434715270996,0.31215197306412923,1.0,0.9993967809596246,1.740420937538147,,1.8561654614341159,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_pr.csv,1.7733370065689087
bert-base-uncased,mean vs first,True,rand,RandCos,13,0.7672996130243818,0.8204742141735996,1.3761374008619967,0.0019327104091644842,0.001943815212983375,1.0,0.999928495741721,0.2639701664447784,0.2626504004001617,0.5024801190502531,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_rand.csv,
